,live_births_surviving_to_age_1_thousands,infant_deaths_under_age_1_thousands,male_population_as_of_1_july_thousands,female_population_as_of_1_july_thousands,births_by_women_aged_15_to_19_thousands,crude_birth_rate_births_per_1_000_population,population_change_thousands,year_col,births_thousands
0,159018.119,24359.529,2363883.6119999997,2381715.995,20140.490999999998,5838.301,83432.074,1950,176271.382
1,160508.911,24443.849,2406311.327,2423717.429,20317.293,5873.456,85303.598,1951,177669.92799999999
2,169617.805,24802.94,2452173.3740000003,2468691.0100000002,21241.722,5939.636,96143.299,1952,187257.35400000002
3,169644.728,24692.089,2500826.608,2516122.12,21245.308,5932.704,96025.372,1953,186943.91700000002
4,175036.076,24738.091,2551157.097,2565127.632,21733.1,5933.514,102646.663,1954,192523.706
5,178442.325,24710.103,2607286.701,2619913.125,21986.949,6012.827,105768.06,1955,195848.141
6,178682.584,24239.892,2660807.501,2672256.262,21963.914,6000.46,105959.761,1956,195712.617
7,186554.435,24564.302,2716157.603,2726627.245,22663.139000000003,5990.566,113482.434,1957,204016.38199999998
8,184246.161,24159.628,2772812.238,2782421.46,22411.596999999998,5969.842,111415.26,1958,201159.513
9,178572.03399999999,25405.619000000002,2828607.5870000003,2837427.474,22115.238999999998,6135.3279999999995,97395.58899999999,1959,196213.538
10,178295.866,26499.441,2875796.687,2884068.9390000002,22264.558,6111.717,90265.557,1960,196884.052
11,177101.943,24073.268,2922939.477,2930533.733,22209.263000000003,6110.655,96854.14799999999,1961,193995.616
12,199207.298,23377.117000000002,2979408.541,2985637.071,24037.572,6083.072,126870.766,1962,216197.336
13,213931.363,24802.282000000003,3047304.6859999998,3051586.247,25617.043999999998,6079.6720000000005,140728.772,1963,231726.548
14,209596.965,24553.701,3117605.581,3119824.1859999998,25622.46,6102.563,134467.84199999998,1964,226772.433
15,210655.49300000002,24550.441,3185550.6429999997,3186093.337,26407.591,6018.8369999999995,133960.571,1965,227954.07
16,209866.61299999998,24131.089,3253064.654,3252485.943,26932.85,5939.906,133852.697,1966,226840.026
17,209618.742,23678.927,3320799.644,3319235.582,27176.057,5875.009,135116.541,1967,226256.543
18,219305.563,23638.571,3390949.183,3388374.2980000004,28719.103,5808.921,143459.997,1968,236145.577
19,220178.69799999997,23560.042,3463456.932,3459503.512,29288.501,5784.168,143774.164,1969,236774.193
20,223779.553,23490.319,3536879.749,3531506.1659999997,30052.859,5773.193,146470.259,1970,240401.52300000002
21,223218.937,23379.389,3609939.598,3603409.121,30675.767,5731.794,143455.304,1971,239730.268
22,223515.27,22691.191,3683637.853,3675348.874,31147.886,5722.134,146602.845,1972,239613.171
23,223864.045,22332.075,3758330.992,3747632.449,31677.764000000003,5652.339,147350.591,1973,239752.825
24,222391.575,21934.322,3832714.4899999998,3819819.1429999997,31893.530999999995,5611.116,145789.786,1974,237994.517
25,219427.90600000002,21343.780000000002,3905657.506,3890869.819,31673.236999999997,5558.848,142197.576,1975,234614.504
26,220159.65,20929.319,3977657.883,3961274.786,31863.799000000003,5515.161,142613.10499999998,1976,235127.115
27,219267.516,20467.368,4049692.6520000002,4031781.2049999996,31193.583,5465.362,142469.288,1977,233888.96
28,222010.41,20205.987,4122142.2770000002,4102879.1769999997,31421.891,5437.299,144625.926,1978,236514.59100000001
29,227522.97,20086.453999999998,4196807.914,4175969.5319999997,32461.203999999998,5432.543,150886.036,1979,241999.002
30,232306.099,20015.661,4274459.221,4251252.206,33215.768000000004,5419.786,154981.95,1980,246744.09
31,236816.95,19895.896,4354332.819999999,4328476.009000001,34368.84,5390.627,159212.83899999998,1981,251187.263
32,243658.181,19843.415,4436678.599,4408587.987,35832.437,5359.388,165702.675,1982,258048.58899999998
33,241372.63799999998,19679.936,4519611.556,4489501.1219999995,36176.417,5324.632,161989.48,1983,255542.854
34,246108.407,19527.696,4602576.619,4570674.564,36632.778,5279.911,166287.551,1984,260262.12
35,250105.236,19375.462,4687478.528,4653792.7469999995,36891.854,5226.065,169752.632,1985,264171.573
36,256002.871,19210.214,4775090.052999999,4739095.42,37003.837999999996,5171.83,176075.774,1986,270016.548
37,260172.27399999998,18917.467,4865536.735,4826661.313999999,36448.598,5109.558,179949.367,1987,273998.79699999996
38,259426.44800000003,18749.836000000003,4956345.188,4914902.419,37122.583999999995,5050.3460000000005,178149.771,1988,273097.407
39,261998.071,18365.449999999997,5047346.208,5003245.802,37469.894,4975.177,180539.02,1989,275456.376
40,264537.381,18164.099,5141576.6049999995,5093704.725,36824.409,5017.327,180960.759,1990,277864.23199999996
41,254749.229,17650.533000000003,5231857.255,5180440.058,36843.815,4954.18,170284.661,1991,267587.731
42,251672.672,17118.877,5317190.726,5263216.327,36526.531,4873.667,165934.826,1992,264172.251
43,250071.234,16636.415999999997,5401268.675,5343635.564,36163.626000000004,4772.445,163059.536,1993,262240.593
44,249419.271,16333.580999999998,5484678.209000001,5425285.94,36041.449,4740.134,159084.705,1994,261374.981
45,248990.99000000002,15940.224,5564626.958,5505423.483,36320.036,4638.0380000000005,161087.882,1995,260676.18700000003
46,248184.392,15568.333999999999,5645288.0,5585596.538,35805.884999999995,4549.908,160580.299,1996,259601.76699999996
47,247769.995,15184.32,5725725.259000001,5665292.757999999,35660.034,4461.192,159686.654,1997,258960.269
48,247684.53699999998,14856.062,5806327.972,5743394.05,35979.402,4391.927,157721.37,1998,258691.214
49,248219.422,14422.561,5886651.154,5821016.254000001,36061.513,4331.418,158169.397,1999,258978.09900000002
50,251620.93300000002,14098.853000000001,5967777.642,5899442.689,36252.44,4277.918,160936.457,2000,262220.22199999995
51,251113.425,13699.062,6049368.545,5978263.218,36293.804,4207.486,159886.409,2001,261444.11
52,251384.96300000002,13277.644,6130278.392,6057025.614,35651.106999999996,4151.343,159458.07400000002,2002,261448.849
53,252203.849,12840.143,6211153.191000001,6135601.8,35050.664,4112.127,159443.863,2003,261994.31400000004
54,254164.859,12466.99,6292548.414,6214313.748,33585.14,4085.604,160770.507,2004,263735.865
55,255468.291,12056.915,6374291.635000001,6293637.395,31624.389000000003,4055.64,161363.207,2005,264779.32
56,258070.44,11675.073999999999,6456940.656,6373633.505,31001.749,4033.211,163927.065,2006,267152.95200000005
57,261061.489,11333.394,6540944.594,6454818.105,30815.826,4020.919,166450.01799999998,2007,269933.418
58,264835.683,11042.897,6625923.019,6537616.952,31373.869000000002,4020.865,169104.509,2008,273535.097
59,267426.26999999996,10785.475,6711634.8950000005,6621995.492,30580.354,4001.396,171076.34699999998,2009,275960.81
60,268454.325,10433.206999999999,6798062.614,6706834.892,29958.967,3964.47,171457.895,2010,276744.585
61,269548.636,10207.715,6885192.721,6791315.893999999,29718.865999999998,3920.619,171764.316,2011,277686.928
62,273992.047,9824.62,6973591.428,6876599.567,29635.183,3887.123,175600.448,2012,281890.068
63,272088.398,9481.099,7062151.559,6962269.08,28999.057,3825.436,172858.836,2013,279731.497
64,272635.451,9195.372,7149608.031,7047335.088,27905.232,3782.093,172186.147,2014,280069.335
65,270865.546,8916.297,7236135.483,7131307.832,26060.779,3717.737,168814.21,2015,278097.341
66,272026.166,8646.976,7321249.981000001,7214746.617000001,25057.139,3646.86,168292.395,2016,279071.58900000004
67,269710.259,8364.275,7404432.533,7298042.175,24609.368,3566.723,164663.802,2017,276530.649
68,263404.013,8016.628,7484641.623,7379122.334000001,24163.928,3490.182,157914.699,2018,269973.5
69,260090.58000000002,7751.396000000001,7562077.652,7457333.506,23814.657,3420.8849999999998,153379.703,2019,266471.168
70,252654.65099999998,7429.157,7633696.149999999,7531092.913000001,23389.713,3348.681,137376.113,2020,258782.91100000002
71,250100.221,7242.518,7697069.964,7597542.625,23253.619,3298.483,122270.928,2021,256106.53500000003
72,248106.285,7139.81,7759803.885000001,7662603.246,23192.98,3230.501,133318.12900000002,2022,254031.58599999998
73,247542.158,6879.08,7825114.42,7731017.654,23302.096,3181.135,134131.78900000002,2023,253291.966
